DLT - 10,DLT - 20,DLT - 30,DLT - 40,DLT - 50,DLT - 60,DLT - 70,DLT2 - 10,DLT2 - 20,DLT2 - 30,DLT2 - 40,DLT2 - 50,DLT2 - 60,DLT2 - 70,LS - 10,LS - 20,LS - 30,LS - 40,LS - 50,LS - 60,LS - 70,ES - 10,ES - 20,ES - 30,ES - 40,ES - 50,ES - 60,ES - 70,RS2 - DLT - 70,RS2 - DLT2 - 70,RS2 - LS - 70,
46.50051746203741,40.48874939323457,39.992882072395226,39.69269829967341,37.195500420535225,34.68431973822985,36.16056612334788,46.50051746203741,40.48874939323457,39.992882072395226,39.69269829967341,37.195500420535225,34.68431973822985,36.16056612334788,49.08134827299216,42.35409265657095,42.53458116527891,42.95447824172503,39.6398141209117,37.64292547271776,36.18297586777212,31.23336270912815,23.877031476883417,23.836801161180716,20.317235207208583,17.605649672346736,176.18546253110014,10.204484182342016,635.3433832200642,635.3433832200642,185863.74775056433,
76.34042498719137,74.86796339607992,74.01430131285828,73.03126298751326,73.38429137216981,74.4273032656522,76.60975593056415,76.34042498719137,74.86796339607992,74.01430131285828,73.03126298751326,73.38429137216981,74.4273032656522,76.60975593056415,127.56443730126969,133.17267888769885,135.6547885520965,135.04794367412865,135.42100072496984,136.80929149129454,137.89963961289004,229.42981042142702,161.09615719137392,190.00911195765264,163.24008318634486,199.2483949616711,2.182982675091032,2.455248131905089,579.5359524736465,579.5359524736465,283032.77128516836,
60.44516917363583,63.55797805037034,61.85909931373999,56.306034775294506,52.933376294065766,52.30819744583887,51.37714596342512,60.44516917363583,63.55797805037034,61.85909931373999,56.306034775294506,52.933376294065766,52.30819744583887,51.37714596342512,25.89614674754203,24.588023654524548,25.635380776217016,23.20082561727646,21.73019577876991,21.567068312996508,21.53675648441522,153.6295011108274,22.81698566684962,23.23797927404616,22.828053906767877,23.43095426624868,5.934012791799041,24.464175507383082,435.13782840750315,435.13782840750315,413250.2534936827,
34.17638302831882,31.062921690201645,27.049008452942406,27.139601591636655,26.501473321058377,26.016554317139953,27.369033027145942,34.17638302831882,31.062921690201645,27.049008452942406,27.139601591636655,26.501473321058377,26.016554317139953,27.369033027145942,86.35479993697273,83.30602532206474,78.41370426563361,77.60594704335634,76.4625302119205,76.31512421782216,76.79011485776809,89.71481200181165,72.80354666218373,44.87053837411007,72.31626355543858,62.42057311294222,130.9549632871415,201.74181106521348,271.5007711670612,271.5007711670612,87420.03549831269,
49.76003555153878,49.09783786097329,47.43058231204011,45.32385574207786,42.40278962671641,41.126080043095484,42.42866812293349,49.76003555153878,49.09783786097329,47.43058231204011,45.32385574207786,42.40278962671641,41.126080043095484,42.42866812293349,60.73237852016113,60.89294199456173,65.09337791668794,65.48462933035324,63.84597455977833,62.64660282267543,62.857610732628956,146.04535328336254,2.446602881969804,8.000418211674933,2.5862534592219,183.2762227741385,3.7963349241128026,53.49555352364341,154.76810864308763,154.76810864308763,63.155238675811766,
61.314668981862816,63.636596008087004,58.00068891326045,57.22846830979448,54.95837420393919,54.56478139520497,56.67701218308486,61.314668981862816,63.636596008087004,58.00068891326045,57.22846830979448,54.95837420393919,54.56478139520497,56.67701218308486,79.10132329513594,77.83779232941095,72.90214318871173,71.94723176592052,71.51921764466245,71.07948099546456,72.82942043951662,19.552198719227754,58.15863681652997,10.983639129486138,55.90347266613795,11.52141166244204,146.37995939082347,299.785148487259,11.332083395645585,11.332083395645585,36.31212221405079,
40.450773825137794,41.073645447515155,42.103497493652526,45.433118630913725,45.43819078918844,44.34359761769762,45.913676762213996,40.450773825137794,41.073645447515155,42.103497493652526,45.433118630913725,45.43819078918844,44.34359761769762,45.913676762213996,105.43243992608544,96.33439505396868,99.08861352510499,104.44243483742419,105.4350077009468,103.23726323713373,101.92791885295549,11.928202114388919,46.71060478912101,18.030448163609208,44.15070647560377,240.23779480139856,140.69865216101786,135.08858715436907,478.2681281136335,478.2681281136335,672815.1291122419,
26.876702849830956,25.985145509742722,23.765391612837277,22.353941675260497,22.510004389241033,22.330348767315478,23.019739268385244,26.876702849830956,25.985145509742722,23.765391612837277,22.353941675260497,22.510004389241033,22.330348767315478,23.019739268385244,53.85214892804495,51.9491555213342,51.867761203463374,54.4985895113221,53.79716471196717,54.52394962175742,52.04757935403121,64.73551636356824,118.21905707691803,167.82540472510405,118.11766160901139,50.55427192483717,125.6774552644696,80.32942772512956,98.75578770408401,98.75578770408401,1072.4657479644695,
26.22856471551186,35.67637434620177,40.3640255549826,42.57730028109043,42.034692140807614,42.58404439747149,39.066004914725845,26.22856471551186,35.67637434620177,40.3640255549826,42.57730028109043,42.034692140807614,42.58404439747149,39.066004914725845,27.98418391174904,26.295026243279125,19.297523367780766,14.251830479923541,14.326723439461075,14.489680121504858,19.67183911243554,1.3887548252245008,7.370946565177169,92.49210958628751,7.342959272352705,13.01797036266082,24.511298214041894,315.33511221097694,378.0384049534043,378.0384049534043,183004.78615692625,
52.17376755667875,49.431758731154986,46.083453436126184,48.25391881487197,48.49063758927941,48.34571080665648,50.55122564150194,52.17376755667875,49.431758731154986,46.083453436126184,48.25391881487197,48.49063758927941,48.34571080665648,50.55122564150194,162.6541569951576,162.10278456406772,161.00222603484883,166.15628376562054,166.33990028959528,166.3562739734188,163.37053457932356,13.435691963145297,226.32114723498768,260.0724652248525,223.92028283087035,27.095824042232767,360.35137466396003,171.89991621420506,228.74732473502382,228.74732473502382,236005.32322901464,
