{ { -1.74685442, 0.48437447, 0.25269606, 245.72012843 } , { 0.20872334, -1.46201337, 0.09555825, 360.69012765 } , { -0.00067955, 0.00016812, -0.00666222, 0.33786327 } , { 0, 0, 0, 1 } }

61.76139291,623.58262269,2.98617516,1.0, ,237.8169,616.8171,3.04391, ,-176.05550709,6.765522690000012,-0.05773483999999973, ,176.18546253110014
172.32218762,374.72041564,2.36566431,1.0, ,172.5217,372.5466,2.3541, ,-0.1995123800000158,2.1738156399999866,0.011564310000000244, ,2.182982675091032
974.49112434,573.93261345,3.55540569,1.0, ,973.5663,579.7941,3.56894, ,0.9248243400001002,-5.861486549999995,-0.013534309999999827, ,5.934012791799041
714.1946851,439.32198247,3.01318392,1.0, ,842.3208,466.3941,3.05246, ,-128.12611489999995,-27.072117529999957,-0.039276080000000047, ,130.9549632871415
664.66358396,363.63112107,3.98462006,1.0, ,665.7703,360.0,4.03256, ,-1.1067160400000375,3.631121070000006,-0.047939940000000014, ,3.7963349241128026
591.27549765,258.00057476,2.54233658,1.0, ,732.1398,218.1968,2.52364, ,-140.86430235,39.80377476000001,0.018696580000000296, ,146.37995939082347
126.10456652,194.48530923,3.50359193,1.0, ,257.1753,143.3329,3.57123, ,-131.07073348,51.15240923000002,-0.0676380700000001, ,140.69865216101786
858.52718745,83.74111366,3.72595331,1.0, ,752.601,151.3759,3.76132, ,105.92618745000004,-67.63478634,-0.035366690000000034, ,125.6774552644696
1115.3097234,95.55380964,3.09814399,1.0, ,1091.934,102.9279,3.05246, ,23.37572339999997,-7.374090359999997,0.04568399000000012, ,24.511298214041894
1293.43468759,182.28919093,4.2936293,1.0, ,949.4745,289.7345,4.20344, ,343.96018759000003,-107.44530907000004,0.09018930000000047, ,360.35137466396003
179.42729813,366.54464016,2.30212555,1.0, ,237.8169,616.8171,3.04391, ,-58.38960187000001,-250.27245984,-0.7417844499999999, ,256.9945524813158
167.44030498,378.56321187,2.40480553,1.0, ,172.5217,372.5466,2.3541, ,-5.081395020000002,6.016611869999963,0.05070553000000011, ,7.875453307224788
990.64929184,582.4992703,3.6300261,1.0, ,973.5663,579.7941,3.56894, ,17.08299184000009,2.705170300000077,0.06108609999999981, ,17.295961611576423
725.63768053,436.97298081,3.03317912,1.0, ,842.3208,466.3941,3.05246, ,-116.68311946999995,-29.421119189999956,-0.019280880000000167, ,120.33516940360703
650.88606356,371.04922347,3.92717676,1.0, ,665.7703,360.0,4.03256, ,-14.884236439999995,11.049223470000015,-0.1053832400000001, ,18.537446947168746
587.58182913,259.0925686,2.51901724,1.0, ,732.1398,218.1968,2.52364, ,-144.55797087000008,40.8957686,-0.004622759999999726, ,150.2313910366487
162.5123085,186.97767847,3.43620194,1.0, ,257.1753,143.3329,3.57123, ,-94.6629915,43.644778470000006,-0.13502805999999978, ,104.23994858019375
877.550022,75.46493997,3.80529767,1.0, ,752.601,151.3759,3.76132, ,124.94902200000001,-75.91096003,0.04397766999999986, ,146.20100507680584
1033.1362598,113.65284105,2.93000581,1.0, ,1091.934,102.9279,3.05246, ,-58.79774019999991,10.724941050000012,-0.12245419000000002, ,59.76799819452973
1228.52049872,207.0954793,4.07123949,1.0, ,949.4745,289.7345,4.20344, ,279.04599871999994,-82.63902070000003,-0.13220050999999966, ,291.02559100682555

x Error = 98.28724384749998
y Error = 43.60972433800001
z Error = 0.09220737500000001
Mean Error = 114.45885067747267
