128.6304,406.3418,1108.8136,589.2,385.1,3
128.6887,406.3451,1108.8776,678.8,385.1,2.5
128.6802,406.3339,1108.7393,634,360,1.5
128.7196,406.3301,1109.0633,589.2,334.9,3
128.7452,406.3273,1108.9017,678.8,334.9,2.5
39.0232,409.86,1104.7387,589.2,385.1,1.5
39.0481,409.8845,1104.7048,678.8,385.1,3
39.0313,409.8775,1104.6626,634,360,3
39.0107,409.88,1104.7074,589.2,334.9,3
39.0914,409.8697,1104.7485,678.8,334.9,2.5
34.4443,384.5706,1190.8694,589.2,385.1,1.5
34.4618,384.5929,1190.788,678.8,385.1,3
34.4324,384.5894,1190.8495,634,360,2.5
34.3623,384.5937,1190.8248,589.2,334.9,1.5
34.4361,384.594,1190.8615,678.8,334.9,3
124.3214,380.6903,1194.5469,589.2,385.1,2.5
124.341,380.7211,1194.583,678.8,385.1,1.5
124.3248,380.7118,1194.6134,634,360,3
124.3036,380.6981,1194.5946,589.2,334.9,2.5
124.3639,380.6975,1194.6459,678.8,334.9,1.5
